TransactionID,Date,Region,BranchID,BranchName,BranchManager,ProductCategory,ProductID,Quantity,UnitPrice,UnitCost,GrossSales,COGS,GrossProfit,OperationalCost,NetProfit,PaymentMethod,DayOfWeek
T000001,2020-02-15,North,B006,North - Madurai,Karthik V,Home & Kitchen,HOM-021,1,822.17,386.69,822.17,386.69,435.48,162.44,273.04,UPI,Saturday
T000002,2019-01-23,South,B010,South - Mysore,Meera S,Grocery,GRO-021,1,3077.68,1392.57,3077.68,1392.57,1685.11,101.53,1583.58,Card,Wednesday
T000003,2019-02-21,West,B011,West - Ahmedabad,Kumar S,Clothing,CLO-047,1,1943.19,1543.15,1943.19,1543.15,400.04,227.68,172.36,Card,Thursday
T000004,2020-05-08,South,B008,South - Bangalore,Ravi K,Toys,TOY-050,1,129.03,68.49,129.03,68.49,60.54,43.3,17.24,Card,Friday
T000005,2021-07-01,East,B001,East - Bhubaneswar,Arun D,Electronics,ELE-050,1,7964.85,5033.97,7964.85,5033.97,2930.88,869.33,2061.55,Wallet,Thursday
T000006,2021-04-28,South,B010,South - Mysore,Meera S,Health & Beauty,HEA-014,1,1666.38,1082.57,1666.38,1082.57,583.81,220.45,363.36,UPI,Wednesday
T000007,2021-03-29,East,B002,East - Kolkata,Priya N,Clothing,CLO-025,1,2736.35,1366.32,2736.35,1366.32,1370.03,414.3,955.73,Wallet,Monday
T000008,2021-04-25,West,B011,West - Ahmedabad,Kumar S,Health & Beauty,HEA-017,1,3961.37,2622.77,3961.37,2622.77,1338.6,700.63,637.97,NetBanking,Sunday
T000009,2021-07-19,West,B013,West - Pune,Bhavani L,Grocery,GRO-023,1,3346.32,2198.38,3346.32,2198.38,1147.94,244.27,903.67,Card,Monday
T000010,2021-11-30,East,B002,East - Kolkata,Priya N,Home & Kitchen,HOM-014,1,2637.53,1581.57,2637.53,1581.57,1055.96,73.33,982.63,Cash,Tuesday
T000011,2020-11-27,West,B012,West - Mumbai,Vikram J,Clothing,CLO-030,1,3041.87,1943.59,3041.87,1943.59,1098.28,207.1,891.18,Card,Friday
T000012,2021-01-30,West,B013,West - Pune,Bhavani L,Clothing,CLO-006,1,1131.28,673.99,1131.28,673.99,457.29,202.1,255.19,Cash,Saturday
T000013,2020-01-26,South,B008,South - Bangalore,Ravi K,Grocery,GRO-027,1,4099.17,3079.52,4099.17,3079.52,1019.65,114.53,905.12,Card,Sunday
T000014,2019-09-01,East,B001,East - Bhubaneswar,Arun D,Grocery,GRO-015,1,1132.88,731.09,1132.88,731.09,401.79,103.78,298.01,Card,Sunday
T000015,2019-09-28,East,B001,East - Bhubaneswar,Arun D,Home & Kitchen,HOM-037,1,232.59,154.29,232.59,154.29,78.3,30.68,47.62,Card,Saturday
T000016,2021-09-21,East,B001,East - Bhubaneswar,Arun D,Grocery,GRO-044,1,2786.82,1832.18,2786.82,1832.18,954.64,113.42,841.22,Card,Tuesday
T000017,2021-05-29,North,B007,North - Trichy,Sahana P,Toys,TOY-022,1,496.93,368.9,496.93,368.9,128.03,48.84,79.19,Cash,Saturday
T000018,2020-10-09,East,B003,East - Siliguri,Sunita M,Home & Kitchen,HOM-019,1,526.07,409.9,526.07,409.9,116.17,72.28,43.89,UPI,Friday
T000019,2021-01-09,North,B004,North - Chennai,Anil Rao,Grocery,GRO-031,2,1326.81,903.55,2653.62,1807.1,846.52,430.03,416.49,Card,Saturday
T000020,2019-09-22,West,B013,West - Pune,Bhavani L,Health & Beauty,HEA-037,2,984.1,538.9,1968.2,1077.8,890.4,303.01,587.39,NetBanking,Sunday
T000021,2020-03-18,North,B007,North - Trichy,Sahana P,Health & Beauty,HEA-049,1,4497.84,2978.7,4497.84,2978.7,1519.14,106.14,1413.0,Card,Wednesday
T000022,2019-01-06,West,B013,West - Pune,Bhavani L,Clothing,CLO-035,1,1160.13,811.24,1160.13,811.24,348.89,86.88,262.01,UPI,Sunday
T000023,2020-12-12,East,B003,East - Siliguri,Sunita M,Home & Kitchen,HOM-033,1,2568.63,1727.96,2568.63,1727.96,840.67,185.85,654.82,Wallet,Saturday
